-180.0 -50.0 6.0
-170.0 -50.0 6.0
-160.0 -50.0 6.0
-150.0 -50.0 6.0
-140.0 -50.0 6.0
-130.0 -50.0 5.9999995
-120.0 -50.0 6.0
-110.0 -50.0 6.0
-100.0 -50.0 6.0
-90.0 -50.0 -1.4157302
-80.0 -50.0 -6.0
-70.0 -50.0 -6.0000005
-60.0 -50.0 -6.0
-50.0 -50.0 -6.0
-40.0 -50.0 -12.296297
-30.0 -50.0 -16.0
-20.0 -50.0 -16.0
-10.0 -50.0 -16.0
0.0 -50.0 -16.0
10.0 -50.0 -19.31579
20.0 -50.0 -23.0
30.0 -50.0 -23.0
40.0 -50.0 -23.000002
50.0 -50.0 -23.0
60.0 -50.0 -23.0
70.0 -50.0 -23.0
80.0 -50.0 -23.0
90.0 -50.0 -23.0
100.0 -50.0 -23.000002
110.0 -50.0 -23.0
120.0 -50.0 -23.000002
130.0 -50.0 -23.0
140.0 -50.0 -23.0
150.0 -50.0 -23.000002
160.0 -50.0 -23.0
170.0 -50.0 -23.000002
180.0 -50.0 -23.000002
-180.0 -45.0 6.0
-170.0 -45.0 6.0
-160.0 -45.0 6.0
-150.0 -45.0 6.0
-140.0 -45.0 6.0
-130.0 -45.0 5.9999995
-120.0 -45.0 6.0
-110.0 -45.0 6.0
-100.0 -45.0 6.0
-90.0 -45.0 -1.4157302
-80.0 -45.0 -6.0
-70.0 -45.0 -6.0000005
-60.0 -45.0 -6.0
-50.0 -45.0 -6.0
-40.0 -45.0 -12.296297
-30.0 -45.0 -16.0
-20.0 -45.0 -16.0
-10.0 -45.0 -16.0
0.0 -45.0 -16.0
10.0 -45.0 -19.31579
20.0 -45.0 -23.0
30.0 -45.0 -23.0
40.0 -45.0 -23.000002
50.0 -45.0 -23.0
60.0 -45.0 -23.0
70.0 -45.0 -23.0
80.0 -45.0 -23.0
90.0 -45.0 -23.0
100.0 -45.0 -23.000002
110.0 -45.0 -23.0
120.0 -45.0 -23.000002
130.0 -45.0 -23.0
140.0 -45.0 -23.0
150.0 -45.0 -23.000002
160.0 -45.0 -23.0
170.0 -45.0 -23.000002
180.0 -45.0 -23.000002
-180.0 -40.0 6.0
-170.0 -40.0 6.0
-160.0 -40.0 6.0
